CUENTA,CUENTA,SUBCUENTA,AUTOMAT1,AUTOMAT2,MONEDA,TIPOANALISIS,TIPO CUENTA,TIPO,NIVEL,CUENTA BALANCE COMPARATIVO,AJUSTE CON VERSION CAMBIO,CONVERSION MONEDA
1,ACTIVO DISPONIBLE Y EXIGIBLE,1,          ,          ,1,0,1,1,0,0,1,1
10,EFECTIVO Y EQUIVALENTE DE EFECTIVO,1,          ,          ,1,0,1,1,1,0,1,1
101,CAJA,10,          ,          ,1,0,1,1,2,0,1,1
1011,CAJA,101,          ,          ,1,0,1,1,3,0,1,1
95823910,OTROS ACTIVOS INTANGIBLES,958239,68239,79110001,1,0,1,3,6,0,1,1
95821301,SOFTWARE,958213,68213001,79110001,1,0,1,3,6,0,1,1
102,FONDOS FIJOS,10,          ,          ,1,0,1,1,2,0,1,1
1021,CAJA CHICA,102,          ,          ,1,0,1,1,3,0,1,1
95821201,PATENTES Y PROPIEDAD INDUSTRIAL,958212,68212001,79110001,1,0,1,3,6,0,1,1
103,EFECTIVO EN TRANSITO,10,          ,          ,1,0,1,1,2,0,1,1
104,CUENTAS CORRIENTES EN INSTITUCIONES FINANCIERAS,10,          ,          ,1,0,1,1,2,0,1,1
1041,CUENTAS CORRIENTES OPERATIVAS,104,          ,          ,1,0,1,1,3,0,1,1
10411,CUENTAS CORRIENTES BANCOS M.N,1041,          ,          ,1,0,1,1,4,0,1,1
95821101,CONCESIONES,958211,68211001,79110001,1,0,1,3,6,0,1,1
95817201,DEPRECIACIÓN DE ACTIVOS BIOLOGICOS VEGETAL,958172,68172001,79110001,1,0,1,3,6,0,1,1
10412,CUENTAS CORRIENTES BANCOS M.E,1041,          ,          ,1,0,1,1,4,0,1,1
1042,CUENTAS CORRIENTES PARA FINES ESPECIFICOS,104,          ,          ,1,0,1,1,3,0,1,1
10421,CUENTAS CORRIENTES PARA FINES ESPECIFICOS,1042,          ,          ,1,0,1,1,4,0,1,1
105,CERTIFICADOS BANCARIOS,10,          ,          ,1,0,1,1,2,0,1,1
1051,CERTIFICADOS BANCARIOS,105,          ,          ,1,0,1,1,3,0,1,1
95814501,EQUIPOS DIVERSOS,958145,68145001,79110001,1,0,1,3,6,0,1,1
1052,OTROS,105,          ,          ,1,0,1,1,3,0,1,1
106,DEPOSITOS EN INSTITUCIONES FINANCIERAS,10,          ,          ,1,0,1,1,2,0,1,1
1061,DEPOSITOS DE AHORRO,106,          ,          ,1,0,1,1,3,0,1,1
95814401,MUEBLES Y ENSERES,958144,68144001,79110001,1,0,1,3,6,0,1,1
1062,DEPOSITOS A PLAZO,106,          ,          ,1,0,1,1,3,0,1,1
107,FONDOS SUJETOS A RESTRICCION,10,          ,          ,1,0,1,1,2,0,1,1
1071,FONDOS SUJETOS A RESTRICCION,107,          ,          ,1,0,1,1,3,0,1,1
11,INVERSIONES AL VALOR RAZONABLE Y DISPONIBLE PARA LA VENTA,1,          ,          ,1,0,1,1,1,0,1,1
111,INVERSIONES AL VALOR RAZONABLE,11,          ,          ,1,0,1,1,2,0,1,1
1111,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO,111,          ,          ,1,0,1,1,3,0,1,1
95814301,EQUIPO DE TRANSPORTE,958143,68143001,79110001,1,0,1,3,6,0,1,1
1115,PARTICIPACIONES EN ENTIDADES,111,          ,          ,1,0,1,1,3,0,1,1
95814201,MAQUINARIAS Y EQUIPOS DE EXPLOTACION,958142,68142001,79110001,1,0,1,3,6,0,1,1
1123,VALORES EMITIDOS POR EMPRESAS,112,          ,          ,1,0,1,1,3,0,1,1
95814101,EDIFICACIONES,958141,68141001,79110001,1,0,1,3,6,0,1,1
113,ACTIVOS FINANCIEROS - COMPROMISO DE COMPRA,11,          ,          ,1,0,1,1,2,0,1,1
12,CUENTAS POR COBRAR COMERCIALES - TERCEROS,1,          ,          ,1,0,1,1,1,0,1,1
121,FACTURAS- BOLETAS Y OTROS COMPROBANTES POR COBRAR,12,          ,          ,1,0,1,1,2,0,1,1
1211,NO EMITIDAS,121,          ,          ,1,0,1,1,3,0,1,1
95813301,EQUIPO DE TRANSPORTE,958133,68133001,79110001,1,0,1,3,6,0,1,1
95811101,EDIFICACIONES,958111,68111001,79110001,1,0,1,3,6,0,1,1
1212,EMITIDAS EN CARTERA,121,          ,          ,1,0,1,1,3,0,1,1
95551501,ACTIVOS BIOLOGICOS,955515,65515001,79110001,1,0,1,3,6,0,1,1
95551401,INTANGIBLES,955514,65514001,79110001,1,0,1,3,6,0,1,1
122,ANTICIPOS DE CLIENTES,12,          ,          ,1,0,1,1,2,0,1,1
1221,ANTICIPOS CLIENTES,122,          ,          ,1,0,1,1,3,0,1,1
95551301,INMUEBLES- MAQUINARIA Y EQUIPO,955513,65513001,79110001,1,0,1,3,6,0,1,1
95551201,ACTIVOS ADQUIRIDOS EN ARRENDAMIENTO FINANCIERO,955512,65512001,79110001,1,0,1,3,6,0,1,1
123,LETRAS POR COBRAR,12,          ,          ,1,0,1,1,2,0,1,1
1231,LETRAS EN CARTERA,123,          ,          ,1,0,1,1,3,0,1,1
95551101,INVERSIONES INMOBILIARIAS,955511,65511001,79110001,1,0,1,3,6,0,1,1
95327101,OTROS SERVICIOS DIVERSOS,953271,63271001,79110001,1,0,1,3,6,0,1,1
1232,LETRAS EN COBRANZA,123,          ,          ,1,0,1,1,3,0,1,1
95324101,COMISIONES,953241,63241001,79110001,1,0,1,3,6,0,1,1
95323101,ASESORIA CONTABLE,953231,63231001,79110001,1,0,1,3,6,0,1,1
1233,EN DESCUENTO,123,          ,          ,1,0,1,1,3,0,1,1
95322101,ASESORIA LEGAL Y TRIBUTARIA,953221,63221001,79110001,1,0,1,3,6,0,1,1
95321101,HONORARIOS ADMINISTRATIVOS,953211,63211001,79110001,1,0,1,3,6,0,1,1
124,PRESTAMOS A TERCEROS,12,          ,          ,1,0,1,1,2,0,1,1
129,COBRANZA DUDOSA,12,          ,          ,1,0,1,1,2,0,1,1
1291,FACTURAS- BOLETAS Y OTROS COMPROBANTES POR COBRAR,129,          ,          ,1,0,1,1,3,0,1,1
95311201,MOVILIDAD URBANA,953112,63112101,79110001,1,0,1,3,6,0,1,1
95311101,TRANSPORTE,953111,63111001,79110001,1,0,1,3,6,0,1,1
1293,LETRAS POR COBRAR,129,          ,          ,1,0,1,1,3,0,1,1
95211201,SALARIOS,952112,62112001,79110001,1,0,1,3,6,0,1,1
95211101,SUELDO BASICO,952111,62111001,79110001,1,0,1,3,6,0,1,1
13,CUENTAS POR COBRAR COMERCIALES - RELACIONADAS,1,          ,          ,1,0,1,1,1,0,1,1
131,FACTURAS- BOLETAS Y OTROS COMPROBANTES POR COBRAR,13,          ,          ,1,0,1,1,2,0,1,1
1311,NO EMITIDAS,131,          ,          ,1,0,1,1,3,0,1,1
13113,ASOCIADAS,1311,          ,          ,1,0,1,1,4,0,1,1
94823910,OTROS ACTIVOS INTANGIBLES,948239,68239,79110001,1,0,1,3,6,0,1,1
94821301,SOFTWARE,948213,68213001,79110001,1,0,1,3,6,0,1,1
1312,EMITIDAS EN CARTERA,131,          ,          ,1,0,1,1,3,0,1,1
13123,ASOCIADAS,1312,          ,          ,1,0,1,1,4,0,1,1
94821201,PATENTES Y PROPIEDAD INDUSTRIAL,948212,68212001,79110001,1,0,1,3,6,0,1,1
94821101,CONCESIONES,948211,68211001,79110001,1,0,1,3,6,0,1,1
94817201,DEPRECIACIÓN DE ACTIVOS BIOLOGICOS VEGETAL,948172,68172001,79110001,1,0,1,3,6,0,1,1
132,ANTICIPOS RECIBIDOS,13,          ,          ,1,0,1,1,2,0,1,1
133,LETRAS POR COBRAR,13,          ,          ,1,0,1,1,2,0,1,1
1331,EN CARTERA,133,          ,          ,1,0,1,1,3,0,1,1
94814501,EQUIPOS DIVERSOS,948145,68145001,79110001,1,0,1,3,6,0,1,1
94814401,MUEBLES Y ENSERES,948144,68144001,79110001,1,0,1,3,6,0,1,1
13314,SUCURSAL,1331,          ,          ,1,0,1,1,4,0,1,1
